,ID,sample,ancestry,pred_ancestry,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10
493,MacArthurLab_494,missing,,nfe,-0.0123,-0.0309,-0.0036,-0.0017,-0.0114,-0.0339,-0.0071,0.0167,0.005,-0.0136
494,MacArthurLab_495,train,nfe,nfe,-0.0125,-0.032,-0.0038,-0.0033,-0.0114,-0.0344,-0.0052,0.0187,0.0021,-0.0136
495,MacArthurLab_496,missing,,nfe,-0.0123,-0.0319,-0.0037,-0.0016,-0.0132,-0.037,-0.0074,0.0215,-0.0015,-0.0156
496,MacArthurLab_497,train,nfe,nfe,-0.0118,-0.0303,-0.0028,-0.0037,-0.0108,-0.0348,-0.0048,0.0176,0.0005,-0.0141
497,MacArthurLab_498,train,nfe,nfe,-0.0119,-0.031,-0.0035,-0.0027,-0.0118,-0.0348,-0.0066,0.019,0.0031,-0.0122
498,MacArthurLab_499,train,nfe,nfe,-0.0127,-0.0329,-0.0031,-0.0007,-0.0118,-0.0314,-0.0044,0.0165,-0.0036,-0.0144
499,MacArthurLab_500,train,nfe,nfe,-0.0134,-0.0322,-0.0047,-0.0034,-0.013,-0.0366,-0.0053,0.0162,0.0014,-0.0139
500,MacArthurLab_501,train,nfe,nfe,-0.0129,-0.0312,-0.0033,-0.0029,-0.0107,-0.0297,-0.0033,0.0104,0.0073,-0.0087
501,MacArthurLab_502,test,eas,eas,-0.0187,0.0538,-0.0413,0.0269,0.0426,-0.0126,-0.0095,0.0506,-0.0117,-0.0214
502,MacArthurLab_503,train,eas,eas,-0.0193,0.0534,-0.0403,0.0292,0.0468,-0.0142,-0.0103,0.0506,-0.0152,-0.0192
503,MacArthurLab_504,train,eas,eas,-0.0191,0.0525,-0.0375,0.0245,0.0489,-0.0169,-0.0127,0.0495,-0.0143,-0.0105
504,MacArthurLab_505,train,eas,eas,-0.0191,0.0532,-0.0366,0.026,0.0477,-0.0151,-0.015,0.0524,-0.012,-0.0106
505,MacArthurLab_506,missing,,eas,-0.0189,0.0524,-0.0374,0.0238,0.0468,-0.0155,-0.0099,0.0442,-0.0095,-0.0134
506,MacArthurLab_507,test,eas,eas,-0.0191,0.0542,-0.0394,0.0255,0.0511,-0.0154,-0.0116,0.0475,-0.0123,-0.0135
507,MacArthurLab_508,train,eas,eas,-0.019,0.0534,-0.0408,0.026,0.0474,-0.0117,-0.0072,0.0466,-0.0098,-0.0213
508,MacArthurLab_509,test,eas,eas,-0.0191,0.0532,-0.0426,0.0291,0.0519,-0.0114,-0.0087,0.0522,-0.011,-0.0207
509,MacArthurLab_510,train,eas,eas,-0.0193,0.0545,-0.0483,0.0276,0.0474,-0.0032,-0.009,0.0637,-0.0171,-0.0368
510,MacArthurLab_511,train,eas,eas,-0.0198,0.0569,-0.049,0.0291,0.0501,-0.007,-0.0113,0.07,-0.018,-0.0379
511,MacArthurLab_512,train,eas,eas,-0.0197,0.0565,-0.048,0.0291,0.0479,-0.0063,-0.0097,0.0648,-0.0169,-0.0384
512,MacArthurLab_513,train,eas,eas,-0.0201,0.0579,-0.0499,0.032,0.0511,-0.0034,-0.0124,0.0699,-0.0156,-0.0407
513,MacArthurLab_514,train,eas,eas,-0.0207,0.0586,-0.0506,0.0298,0.0505,-0.0023,-0.0147,0.0766,-0.0241,-0.0392
514,MacArthurLab_515,train,eas,eas,-0.0194,0.0548,-0.0515,0.0299,0.0497,-0.0034,-0.0091,0.0655,-0.0161,-0.04
515,MacArthurLab_516,train,eas,eas,-0.0198,0.055,-0.0486,0.0281,0.0496,-0.0027,-0.0112,0.069,-0.0197,-0.0354
516,MacArthurLab_517,train,eas,eas,-0.0198,0.0566,-0.0506,0.0288,0.0532,-0.0035,-0.0131,0.0685,-0.0217,-0.0379
517,MacArthurLab_518,train,eas,eas,-0.0195,0.0548,-0.0446,0.0269,0.0467,-0.0065,-0.0143,0.0656,-0.0188,-0.0301
518,MacArthurLab_519,missing,,eas,-0.0194,0.0559,-0.044,0.0272,0.0481,-0.0062,-0.0129,0.0659,-0.0145,-0.0301
519,MacArthurLab_520,train,eas,eas,-0.0201,0.0571,-0.0497,0.0308,0.0511,-0.0042,-0.0104,0.0653,-0.0151,-0.0414
520,MacArthurLab_521,missing,,eas,-0.0197,0.0568,-0.0478,0.0275,0.0495,-0.0045,-0.0083,0.0682,-0.02,-0.0446
521,MacArthurLab_522,train,eas,eas,-0.0201,0.0576,-0.0502,0.0316,0.0505,-0.0018,-0.0083,0.0728,-0.0174,-0.0456
522,MacArthurLab_523,train,eas,eas,-0.0197,0.0573,-0.0513,0.0312,0.0482,0.0007,-0.0085,0.065,-0.0164,-0.0434
523,MacArthurLab_524,train,eas,eas,-0.0185,0.0496,-0.0361,0.0219,0.0333,-0.0104,-0.0076,0.0324,-0.0034,-0.0087
524,MacArthurLab_525,test,eas,eas,-0.0189,0.0505,-0.0357,0.0231,0.0347,-0.0086,-0.0051,0.0336,-0.0064,-0.0104
525,MacArthurLab_526,missing,,eas,-0.0184,0.0491,-0.0362,0.0208,0.0362,-0.0086,-0.0052,0.0312,-0.004,-0.0132
526,MacArthurLab_527,train,eas,eas,-0.0183,0.0485,-0.0314,0.0235,0.0355,-0.0159,-0.0078,0.027,-0.0012,0.0024
527,MacArthurLab_528,train,eas,eas,-0.0183,0.0495,-0.0351,0.022,0.0412,-0.0124,-0.0058,0.0278,-0.0008,-0.0047
528,MacArthurLab_529,missing,,eas,-0.0181,0.0497,-0.037,0.0263,0.0417,-0.0091,-0.0083,0.035,0.0012,-0.0116
529,MacArthurLab_530,train,eas,eas,-0.0183,0.0482,-0.0324,0.0206,0.0361,-0.0139,-0.0054,0.0289,0.0005,-0.0074
530,MacArthurLab_531,train,eas,eas,-0.0182,0.0486,-0.033,0.0198,0.037,-0.0141,-0.0049,0.0264,-0.0008,-0.0048
531,MacArthurLab_532,missing,,eas,-0.0187,0.0498,-0.0353,0.0244,0.0394,-0.013,-0.0071,0.0299,-0.0012,-0.008
532,MacArthurLab_533,missing,,eas,-0.0185,0.0508,-0.0337,0.0227,0.0387,-0.0112,-0.0048,0.0303,-0.0002,-0.0086
533,MacArthurLab_534,train,eas,eas,-0.0171,0.0459,-0.0243,0.0157,0.0333,-0.0188,-0.011,0.0181,-0.0099,0.0159
534,MacArthurLab_535,train,eas,eas,-0.0168,0.0433,-0.0196,0.0154,0.0269,-0.0195,-0.0106,0.0177,-0.0035,0.0157
535,MacArthurLab_536,test,eas,eas,-0.0166,0.0442,-0.0201,0.0165,0.0278,-0.0202,-0.013,0.0181,-0.0021,0.0198
536,MacArthurLab_537,test,eas,eas,-0.0173,0.0458,-0.0214,0.0144,0.0306,-0.0236,-0.0129,0.021,-0.0053,0.0168
537,MacArthurLab_538,missing,,eas,-0.0162,0.0423,-0.0175,0.0141,0.026,-0.0202,-0.0112,0.0163,-0.0005,0.0166
538,MacArthurLab_539,test,eas,eas,-0.0166,0.043,-0.0221,0.0184,0.0342,-0.0172,-0.0108,0.0199,-0.0016,0.0136
539,MacArthurLab_540,missing,,eas,-0.0162,0.0376,0.0122,-0.0043,-0.0161,-0.0014,-0.0377,0.0258,-0.0315,0.0435
540,MacArthurLab_541,missing,,eas,-0.0166,0.0377,0.0121,-0.0039,-0.0185,0.0009,-0.0423,0.0268,-0.0316,0.0483
541,MacArthurLab_542,train,eas,eas,-0.0163,0.0362,0.012,-0.0033,-0.018,-0.0001,-0.0399,0.0275,-0.0318,0.0435
542,MacArthurLab_543,train,eas,eas,-0.0158,0.0357,0.0114,-0.0024,-0.0151,0.0011,-0.0384,0.0263,-0.0331,0.0471
543,MacArthurLab_544,train,eas,eas,-0.0164,0.0372,0.0114,-0.0028,-0.0167,-0.0004,-0.044,0.0293,-0.0319,0.0484
544,MacArthurLab_545,train,eas,eas,-0.0164,0.0356,0.0126,-0.0031,-0.0169,-0.0007,-0.0381,0.0294,-0.0299,0.0433
545,MacArthurLab_546,missing,,eas,-0.0156,0.0378,0.0127,-0.0044,-0.0197,-0.0019,-0.0411,0.0281,-0.0337,0.0463
546,MacArthurLab_547,train,eas,eas,-0.0165,0.0346,0.0298,-0.0097,-0.0245,-0.0227,-0.0035,0.0045,-0.0337,0.0128
547,MacArthurLab_548,train,eas,eas,-0.0167,0.0354,0.03,-0.0091,-0.0261,-0.0226,-0.004,0.0014,-0.0321,0.0095
548,MacArthurLab_549,test,eas,eas,-0.0162,0.0325,0.0299,-0.0081,-0.0257,-0.0216,0.0006,0.0034,-0.0252,0.0094
549,MacArthurLab_550,missing,,eas,-0.016,0.0325,0.0292,-0.0092,-0.0225,-0.0216,-0.0003,0.005,-0.025,0.0066
550,MacArthurLab_551,train,afr,afr,0.0353,0.0076,-0.0149,0.0034,0.0104,0.0153,-0.0383,0.0185,-0.0214,0.0694
551,MacArthurLab_552,train,afr,afr,0.0351,-0.0012,0.0023,-0.0014,0.0027,-0.0069,0.0294,-0.0089,-0.0365,0.0122
552,MacArthurLab_553,train,afr,afr,0.037,0.0026,0.003,-0.0013,-0.0039,-0.0081,0.0304,0.0208,0.0203,-0.0091
553,MacArthurLab_554,missing,,afr,0.0322,-0.0018,0.0031,0.0007,-0.0033,-0.0103,0.024,0.0162,0.0166,-0.0138
554,MacArthurLab_555,test,amr,amr,-0.0142,0.0161,-0.0289,-0.0484,0.0914,0.0175,0.0033,0.0025,0.0126,0.0145
555,MacArthurLab_556,train,afr,afr,0.0346,0.0,0.0025,0.0003,-0.0033,-0.0121,0.025,0.0139,0.0099,-0.0167
556,MacArthurLab_557,test,afr,afr,0.0337,-0.0012,0.0024,-0.0014,-0.0023,-0.0124,0.0303,0.0215,0.0162,-0.0127
557,MacArthurLab_558,train,amr,amr,-0.0166,0.0145,-0.0286,-0.048,0.0894,0.0179,0.0019,0.0042,0.0126,0.012
558,MacArthurLab_559,missing,,amr,-0.0179,0.0238,-0.0267,-0.0691,0.1111,0.0315,0.002,0.0044,0.0123,0.0096
559,MacArthurLab_560,test,amr,amr,-0.0173,0.0214,-0.0246,-0.0661,0.1019,0.0287,0.0028,-0.0001,0.0145,0.0114
560,MacArthurLab_561,missing,,amr,-0.0168,0.0101,0.0068,-0.0958,0.067,0.0543,-0.0189,0.0057,-0.0069,0.0324
561,MacArthurLab_562,train,amr,amr,-0.0118,0.0072,0.0032,-0.0818,0.0555,0.0478,-0.0262,0.0088,-0.009,0.0378
562,MacArthurLab_563,missing,,amr,-0.016,0.0071,0.0055,-0.0863,0.0612,0.0483,-0.0244,0.009,-0.0087,0.0339
563,MacArthurLab_564,train,amr,amr,-0.0159,0.0191,0.0059,-0.0563,0.0318,0.03,-0.0277,0.0118,-0.0173,0.0382
564,MacArthurLab_565,missing,,amr,-0.0136,0.0089,0.0033,-0.0854,0.0612,0.0492,-0.0224,0.0097,-0.0085,0.0362
565,MacArthurLab_566,missing,,amr,-0.0156,0.003,0.0218,-0.1021,0.0597,0.0344,0.0178,-0.0169,0.0045,-0.0081
566,MacArthurLab_567,missing,,amr,-0.0159,0.0035,0.0227,-0.1033,0.0609,0.0377,0.0181,-0.0186,0.0013,-0.0028
567,MacArthurLab_568,train,afr,afr,0.0343,0.0062,-0.0149,0.0043,0.0078,0.0158,-0.0416,0.0199,-0.0148,0.0619
568,MacArthurLab_569,train,amr,amr,-0.0103,-0.0057,0.0156,-0.0654,0.0341,0.0132,0.014,0.0006,0.0083,-0.0222
569,MacArthurLab_570,train,amr,amr,-0.0146,-0.0057,0.015,-0.0775,0.0425,0.0164,0.0137,-0.013,-0.0053,-0.003
570,MacArthurLab_571,test,amr,amr,-0.0161,0.0074,0.0243,-0.107,0.059,0.0374,0.0187,-0.0164,0.0049,-0.0082
571,MacArthurLab_572,train,amr,amr,-0.0152,-0.0061,0.0151,-0.0795,0.0426,0.0178,0.0134,-0.014,-0.0042,-0.0051
572,MacArthurLab_573,missing,,amr,-0.0067,-0.0024,0.011,-0.0654,0.0378,0.0163,0.0078,-0.0165,-0.0202,0.0207
573,MacArthurLab_574,train,amr,amr,-0.0163,0.0076,0.0231,-0.1084,0.0674,0.0417,0.0113,-0.0242,-0.0139,0.0124
574,MacArthurLab_575,missing,,amr,-0.015,-0.0027,0.0146,-0.0797,0.0481,0.0204,0.0041,-0.0167,-0.0138,0.0145
575,MacArthurLab_576,missing,,amr,-0.0159,0.0005,0.0164,-0.098,0.0605,0.031,0.0076,-0.0195,-0.0207,0.0144
576,MacArthurLab_577,missing,,amr,-0.0167,0.0159,-0.0291,-0.0519,0.0915,0.0195,0.0005,0.0033,0.0131,0.0107
577,MacArthurLab_578,missing,,afr,0.0285,0.0068,-0.0186,0.0105,0.0313,-0.0079,-0.0045,0.0145,-0.0436,0.0436
578,MacArthurLab_579,train,afr,afr,0.0151,-0.0136,-0.0029,-0.0014,-0.0055,-0.0105,-0.0217,0.0021,0.0039,0.0199
579,MacArthurLab_580,train,afr,afr,0.0314,-0.0026,0.001,-0.0004,-0.0012,0.0007,-0.0197,-0.0004,0.0051,0.0297
580,MacArthurLab_581,missing,,amr,-0.0142,-0.0017,0.0186,-0.08,0.0415,0.02,0.0116,-0.0021,0.0145,-0.0175
581,MacArthurLab_582,test,amr,amr,-0.0156,0.0028,0.0215,-0.1011,0.0548,0.0299,0.0146,-0.0028,0.0222,-0.021
582,MacArthurLab_583,train,amr,amr,-0.0155,-0.0004,0.0197,-0.0904,0.0445,0.023,0.0134,-0.0034,0.0196,-0.0173
583,MacArthurLab_584,missing,,amr,-0.015,0.0027,0.022,-0.098,0.0498,0.0283,0.0155,-0.0031,0.0204,-0.0202
584,MacArthurLab_585,train,afr,afr,0.0319,-0.0027,0.0024,-0.0014,-0.0017,-0.0102,0.0272,0.0163,0.0097,-0.0126
585,MacArthurLab_586,missing,,afr,0.0302,-0.0041,0.002,-0.0003,-0.0048,-0.0125,0.0265,0.0192,0.0188,-0.0058
586,MacArthurLab_587,train,afr,afr,0.0341,-0.0006,-0.0019,0.0004,0.0071,-0.0092,0.0231,-0.0162,-0.0581,0.0382
587,MacArthurLab_588,test,eas,eas,-0.0151,0.0274,0.0299,-0.0061,-0.0248,-0.0208,-0.0011,0.0162,-0.0025,-0.0122
588,MacArthurLab_589,train,eas,eas,-0.0159,0.0337,0.0298,-0.0121,-0.0317,-0.0267,-0.0034,0.018,-0.0003,-0.0115
589,MacArthurLab_590,train,eas,eas,-0.016,0.0367,0.0111,-0.0048,-0.0165,-0.0012,-0.0374,0.0285,-0.0326,0.0435
590,MacArthurLab_591,missing,,eas,-0.0164,0.0376,0.012,-0.005,-0.0185,-0.0034,-0.0367,0.0246,-0.0285,0.0455
591,MacArthurLab_592,train,eas,eas,-0.0173,0.0449,-0.027,0.0169,0.027,-0.0135,-0.0042,0.0135,-0.0001,0.0026
592,MacArthurLab_593,missing,,eas,-0.0146,0.031,0.027,-0.0056,-0.0255,-0.0124,-0.0211,0.0123,-0.0084,0.016
593,MacArthurLab_594,train,eas,eas,-0.0153,0.0317,0.027,-0.0086,-0.0267,-0.0133,-0.0202,0.0159,-0.012,0.0169
594,MacArthurLab_595,missing,,eas,-0.0151,0.0309,0.0272,-0.0057,-0.0269,-0.0137,-0.016,0.0147,-0.0103,0.0175
595,MacArthurLab_596,test,eas,eas,-0.0161,0.0329,0.0289,-0.0085,-0.0229,-0.0195,-0.0082,-0.0,-0.034,0.0208
596,MacArthurLab_597,train,eas,eas,-0.016,0.0342,0.0284,-0.0072,-0.0203,-0.0205,-0.0084,0.0016,-0.0407,0.0227
597,MacArthurLab_598,train,afr,afr,0.0372,0.0025,0.0015,0.0014,-0.0012,0.0042,-0.0228,-0.0037,0.0099,0.0257
598,MacArthurLab_599,missing,,afr,0.0332,-0.0015,0.0023,-0.0017,-0.0037,-0.013,0.0291,0.0179,0.003,-0.0107
599,MacArthurLab_600,missing,,eas,-0.0162,0.0332,0.0286,-0.0111,-0.0222,-0.0203,-0.0055,-0.0007,-0.032,0.0186
600,MacArthurLab_601,train,eas,eas,-0.0156,0.0323,0.0281,-0.0082,-0.0193,-0.0201,-0.0079,0.0019,-0.0362,0.0217
601,MacArthurLab_602,missing,,eas,-0.0172,0.0449,-0.0227,0.0166,0.03,-0.017,-0.0096,0.0196,-0.0021,0.0084
602,MacArthurLab_603,test,eas,eas,-0.0164,0.0342,0.0282,-0.0084,-0.0236,-0.0199,-0.0064,-0.0008,-0.0308,0.02
603,MacArthurLab_604,train,eas,eas,-0.0158,0.0319,0.0297,-0.0102,-0.0288,-0.0231,-0.001,0.0148,-0.0021,-0.0099
604,MacArthurLab_605,train,eas,eas,-0.0159,0.0321,0.0297,-0.0117,-0.0297,-0.0251,-0.002,0.0162,-0.0035,-0.0102
605,MacArthurLab_606,test,eas,eas,-0.0154,0.0331,0.0301,-0.0095,-0.03,-0.0257,-0.0004,0.0148,-0.0038,-0.0127
606,MacArthurLab_607,train,eas,eas,-0.0158,0.0318,0.0306,-0.0076,-0.0294,-0.0256,-0.002,0.0179,-0.0041,-0.0094
607,MacArthurLab_608,missing,,eas,-0.0153,0.0321,0.0295,-0.0102,-0.0313,-0.0257,-0.0021,0.0147,-0.0021,-0.0113
608,MacArthurLab_609,train,eas,eas,-0.0158,0.0313,0.0304,-0.0082,-0.0305,-0.024,-0.0004,0.0144,-0.0017,-0.0115
609,MacArthurLab_610,test,eas,eas,-0.016,0.0315,0.0302,-0.0082,-0.0317,-0.0251,-0.0032,0.0183,-0.0015,-0.0079
610,MacArthurLab_611,train,eas,eas,-0.0152,0.0307,0.0301,-0.0083,-0.0282,-0.022,-0.0027,0.0164,-0.0019,-0.0092
611,MacArthurLab_612,train,eas,eas,-0.0156,0.0308,0.0294,-0.0066,-0.0289,-0.0228,-0.0025,0.0144,-0.0007,-0.0074
612,MacArthurLab_613,test,eas,eas,-0.0154,0.032,0.0298,-0.01,-0.0315,-0.0259,-0.003,0.0182,-0.0028,-0.0081
613,MacArthurLab_614,missing,,amr,-0.014,-0.0048,0.0166,-0.0751,0.0373,0.0183,0.0086,0.0012,0.022,-0.0224
614,MacArthurLab_615,train,amr,amr,-0.009,-0.0055,0.0137,-0.0651,0.0297,0.0096,0.013,0.0054,0.017,-0.0169
615,MacArthurLab_616,train,afr,afr,0.0351,0.0007,0.001,0.0001,-0.0008,0.0003,-0.0196,0.0003,0.0063,0.0267
616,MacArthurLab_617,train,amr,amr,-0.0151,0.0035,0.0227,-0.0991,0.0534,0.0288,0.0136,-0.0003,0.019,-0.0247
617,MacArthurLab_618,missing,,amr,-0.0155,0.0062,0.0245,-0.1026,0.0559,0.034,0.0142,-0.0038,0.0236,-0.0234
618,MacArthurLab_619,train,afr,afr,0.0374,0.0022,0.0013,-0.0003,-0.0015,0.0049,-0.0253,-0.0014,0.0181,0.0175
619,MacArthurLab_620,test,afr,afr,0.0301,-0.0024,0.0005,0.0,-0.002,-0.0033,-0.0186,0.003,0.0085,0.0228
620,MacArthurLab_621,missing,,afr,0.0346,0.0005,0.0015,0.0004,-0.0032,0.0008,-0.0124,0.0099,0.0164,0.0276
621,MacArthurLab_622,train,eas,eas,-0.0158,0.0331,0.0298,-0.0093,-0.0332,-0.0272,-0.0035,0.0198,-0.0008,-0.0091
622,MacArthurLab_623,train,eas,eas,-0.0149,0.031,0.0269,-0.0068,-0.0272,-0.0131,-0.0206,0.0142,-0.009,0.0175
623,MacArthurLab_624,train,eas,eas,-0.0151,0.0311,0.0298,-0.0096,-0.0312,-0.0232,-0.0002,0.0106,0.0008,-0.0084
624,MacArthurLab_625,missing,,eas,-0.0159,0.0325,0.0307,-0.0091,-0.0305,-0.0262,-0.0024,0.0178,-0.0028,-0.0137
625,MacArthurLab_626,train,eas,eas,-0.0157,0.0322,0.0306,-0.0105,-0.0298,-0.0241,-0.0037,0.0166,-0.0013,-0.0119
626,MacArthurLab_627,train,eas,eas,-0.0168,0.042,-0.0188,0.016,0.0261,-0.0157,-0.0087,0.02,0.0018,0.0071
627,MacArthurLab_628,missing,,eas,-0.0171,0.0442,-0.0215,0.0159,0.028,-0.018,-0.0085,0.0182,-0.0014,0.0079
628,MacArthurLab_629,train,eas,eas,-0.0169,0.042,-0.0175,0.0162,0.0257,-0.0187,-0.0075,0.0155,-0.0022,0.0099
629,MacArthurLab_630,missing,,eas,-0.017,0.0434,-0.0214,0.0164,0.028,-0.0203,-0.0082,0.0152,-0.0006,0.0115
630,MacArthurLab_631,train,eas,eas,-0.0156,0.0321,0.0306,-0.0073,-0.0313,-0.0252,-0.002,0.0139,-0.0016,-0.0096
631,MacArthurLab_632,test,eas,eas,-0.0152,0.0305,0.0299,-0.0083,-0.0288,-0.0229,-0.0027,0.0156,-0.002,-0.0107
632,MacArthurLab_633,test,afr,afr,0.0295,-0.0035,0.0004,-0.0002,-0.0019,-0.0022,-0.0204,0.0048,0.0115,0.0244
633,MacArthurLab_634,test,afr,afr,0.0355,0.001,0.0013,0.0004,-0.0022,0.0003,-0.0193,-0.0007,0.009,0.0284
634,MacArthurLab_635,missing,,amr,-0.0186,0.0256,-0.0412,-0.0545,0.1137,0.03,0.0022,0.0252,0.0097,-0.0149
635,MacArthurLab_636,missing,,amr,-0.0161,0.0055,0.024,-0.0994,0.0629,0.0342,0.0166,-0.0185,-0.0066,-0.013
636,MacArthurLab_637,missing,,eas,-0.0174,0.0468,-0.0245,0.0191,0.0378,-0.0233,-0.0116,0.0255,-0.0056,0.0129
637,MacArthurLab_638,test,eas,eas,-0.0162,0.0335,0.03,-0.0099,-0.0286,-0.0266,-0.0025,0.023,-0.0011,-0.0141
638,MacArthurLab_639,test,eas,eas,-0.0155,0.0324,0.0301,-0.0077,-0.0307,-0.024,-0.0046,0.0179,-0.0004,-0.0115
639,MacArthurLab_640,missing,,eas,-0.0159,0.0329,0.0298,-0.0099,-0.0312,-0.0275,-0.004,0.0221,0.0006,-0.0153
640,MacArthurLab_641,missing,,eas,-0.0156,0.0317,0.0293,-0.0081,-0.0302,-0.0269,-0.0038,0.0198,-0.0006,-0.0113
641,MacArthurLab_642,missing,,eas,-0.0158,0.0326,0.0299,-0.0083,-0.0283,-0.0257,-0.0032,0.0219,-0.0014,-0.0116
642,MacArthurLab_643,missing,,eas,-0.0153,0.033,0.0303,-0.0092,-0.0305,-0.0233,-0.0029,0.0218,0.0012,-0.0097
643,MacArthurLab_644,missing,,eas,-0.0159,0.0329,0.0303,-0.0105,-0.0326,-0.0257,-0.0039,0.0208,-0.0015,-0.0098
644,MacArthurLab_645,test,eas,eas,-0.016,0.0342,0.0304,-0.0103,-0.0299,-0.0247,-0.0038,0.0235,-0.0009,-0.0119
645,MacArthurLab_646,train,eas,eas,-0.0158,0.0336,0.0302,-0.0081,-0.0304,-0.0263,-0.0048,0.0234,-0.0032,-0.0117
646,MacArthurLab_647,train,eas,eas,-0.0157,0.0325,0.0292,-0.0085,-0.0299,-0.0257,-0.0035,0.0196,-0.0011,-0.0102
647,MacArthurLab_648,train,eas,eas,-0.0157,0.0325,0.03,-0.0072,-0.0324,-0.0256,-0.0037,0.0197,-0.0023,-0.0109
648,MacArthurLab_649,test,eas,eas,-0.0155,0.0319,0.0283,-0.0085,-0.03,-0.0258,-0.0045,0.0221,-0.0014,-0.0115
649,MacArthurLab_650,train,eas,eas,-0.0157,0.0328,0.0301,-0.0101,-0.0313,-0.0253,-0.0062,0.0221,0.0005,-0.0106
650,MacArthurLab_651,train,eas,eas,-0.0157,0.0333,0.03,-0.01,-0.0313,-0.0253,-0.0051,0.0205,-0.0027,-0.0097
651,MacArthurLab_652,missing,,eas,-0.0155,0.0334,0.0296,-0.0101,-0.0305,-0.0255,-0.0047,0.0238,0.0002,-0.0091
652,MacArthurLab_653,train,eas,eas,-0.0156,0.0326,0.0286,-0.01,-0.029,-0.0252,-0.0056,0.0235,-0.0007,-0.0112
653,MacArthurLab_654,missing,,eas,-0.0154,0.0321,0.0294,-0.0097,-0.0285,-0.0231,-0.002,0.0185,-0.0012,-0.0115
654,MacArthurLab_655,missing,,eas,-0.0158,0.0337,0.0301,-0.0121,-0.0295,-0.0259,-0.0047,0.022,-0.0013,-0.0129
655,MacArthurLab_656,test,eas,eas,-0.0152,0.0329,0.0293,-0.0085,-0.0293,-0.0256,-0.0066,0.0209,-0.0001,-0.0125
656,MacArthurLab_657,train,nfe,nfe,-0.0145,-0.0106,-0.05,0.0211,0.0457,-0.028,-0.0156,0.0187,-0.0054,0.02
657,MacArthurLab_658,train,nfe,nfe,-0.0127,-0.0332,-0.0039,-0.0037,-0.0106,-0.0345,-0.0051,0.0179,-0.0075,-0.0153
658,MacArthurLab_659,train,nfe,nfe,-0.0121,-0.0314,-0.0032,-0.0021,-0.0123,-0.0327,-0.0079,0.0202,0.0054,-0.0149
659,MacArthurLab_660,missing,,nfe,-0.0116,-0.0321,-0.0035,-0.0044,-0.0111,-0.0333,-0.0083,0.023,0.0061,-0.0156
660,MacArthurLab_661,missing,,nfe,-0.0116,-0.0293,-0.0048,-0.0013,-0.0095,-0.0218,-0.0214,0.0144,-0.0059,0.012
661,MacArthurLab_662,missing,,nfe,-0.0123,-0.0306,-0.0047,-0.0026,-0.0088,-0.0217,-0.0231,0.0124,-0.0093,0.0129
662,MacArthurLab_663,test,nfe,nfe,-0.0121,-0.0321,-0.006,-0.0017,-0.0101,-0.0226,-0.0222,0.0129,-0.0106,0.0143
663,MacArthurLab_664,train,nfe,nfe,-0.012,-0.0297,-0.0038,-0.0014,-0.0097,-0.0203,-0.0213,0.0134,-0.0051,0.0124
664,MacArthurLab_665,train,nfe,nfe,-0.0116,-0.0318,-0.0037,-0.0034,-0.0133,-0.0342,-0.0092,0.0217,0.0014,-0.0124
665,MacArthurLab_666,train,nfe,nfe,-0.0121,-0.032,-0.0034,-0.002,-0.0098,-0.0322,-0.0062,0.0191,0.0016,-0.0109
666,MacArthurLab_667,train,eas,eas,-0.0168,0.0451,-0.0239,0.0182,0.0351,-0.0217,-0.0111,0.0236,-0.0017,0.0101
667,MacArthurLab_668,train,amr,amr,-0.0144,-0.0117,0.0128,-0.0629,0.0387,0.0103,0.0097,-0.0077,-0.0082,-0.012
668,MacArthurLab_669,train,afr,afr,0.0361,0.0013,0.0032,-0.0006,-0.0032,-0.0093,0.0195,0.0165,0.0201,-0.0143
669,MacArthurLab_670,train,afr,afr,0.0265,-0.0049,0.002,-0.0043,-0.0019,-0.0114,0.0181,0.0191,0.0211,-0.0138
670,MacArthurLab_671,test,amr,amr,-0.017,0.0209,-0.0367,-0.0462,0.0946,0.0296,0.0051,0.0078,0.0175,-0.0105
671,MacArthurLab_672,train,amr,amr,-0.0158,-0.0007,0.019,-0.0875,0.0531,0.0228,0.0127,-0.0159,-0.009,-0.0116
672,MacArthurLab_673,train,amr,amr,-0.0148,0.0032,0.0218,-0.0948,0.0524,0.0403,0.0076,-0.0039,0.0241,-0.0074
673,MacArthurLab_674,train,amr,amr,-0.0148,0.0043,0.0218,-0.0928,0.049,0.0382,0.007,-0.0043,0.0235,-0.0079
674,MacArthurLab_675,train,amr,amr,-0.0015,0.0011,0.0145,-0.063,0.0324,0.0241,0.0036,-0.0008,0.0256,-0.0009
675,MacArthurLab_676,train,amr,amr,-0.0151,0.0057,0.0229,-0.0963,0.0509,0.0393,0.0063,-0.0038,0.0246,-0.0083
676,MacArthurLab_677,train,amr,amr,-0.015,-0.0038,0.0174,-0.0738,0.0377,0.0138,0.0087,0.0017,0.0132,-0.0187
677,MacArthurLab_678,missing,,amr,-0.0149,0.0033,0.022,-0.0977,0.0533,0.0318,0.0133,-0.0038,0.0223,-0.0202
678,MacArthurLab_679,test,afr,afr,0.0369,0.0001,0.0029,-0.0012,-0.0033,-0.0084,0.0289,0.0252,0.0226,-0.012
